Date,ID,Title,Artist,ISRC,Playcount,,
23/07/2021,1090536016,tokyoto,Destroylonely,,38204,,
23/07/2021,1090535437,i got em,Destroylonely,,36854,,
23/07/2021,1090531087,ok / what i do,Destroylonely,,33509,,
23/07/2021,1090362193,Like Dat,Soldier Kidd,,35653,,
23/07/2021,1090102813,King Von - Wicc City (UNRELEASED),alen.kt,,33052,,
23/07/2021,1090649542,$uede - Rewind,SANBERNARDINOFOO,,20645,,
23/07/2021,1090651396,Another One,Tay Ball,,16440,,
23/07/2021,1090651693,Rotate,Tay Ball,,14536,,
23/07/2021,1090557217,My Shit,Bizzy Banks,,29174,,
23/07/2021,1090523287,Baby Smoove - Hustler Muzic,wolerya,,13032,,
23/07/2021,1090361875,Iron On Me - Juice WRLD (CDQ Snippet),wrld~,,16269,,
23/07/2021,1089547555,Lovers Lane,Juice WRLD,,17367,,
23/07/2021,1081426348,You & Me (GRiMM DOZA),BoofPaxkMooky,,11095,,
23/07/2021,1088333137,Holy Smokes (feat. Lil Uzi Vert),Trippie Redd,,1741867,,
23/07/2021,1088501041,Pop Smoke - Bout A Million (feat. 21 Savage & 42 Dugg),POP SMOKE,,547512,,
23/07/2021,1088499106,Pop Smoke - 30 (feat. Bizzy Banks),POP SMOKE,,500427,,
23/07/2021,1088499046,Pop Smoke - More Time,POP SMOKE,,405156,,
23/07/2021,1088499322,Pop Smoke - Woo Baby (feat. Chris Brown),POP SMOKE,,492355,,
23/07/2021,1088499232,Pop Smoke - Merci Beaucoup,POP SMOKE,,383868,,
23/07/2021,1083312043,MATERIALISM AS A MEANS TO AN END,$UICIDEBOY$,,452010,,
23/07/2021,1088500051,Pop Smoke - Tell The Vision (feat. Kanye West & Pusha T),POP SMOKE,,358975,,
23/07/2021,1088500204,Pop Smoke - Brush Em (feat. Rah Swish),POP SMOKE,,350487,,
23/07/2021,1088500420,Pop Smoke - Beat The Speaker,POP SMOKE,,337861,,
23/07/2021,1088088901,Gyalis (Remix),A BOOGIE WIT DA HOODIE,,281389,,
23/07/2021,1089099313,Teen Bean,Ken Carson,,254474,,
23/07/2021,1088500522,Pop Smoke - Manslaughter (feat. Rick Ross & The-Dream),POP SMOKE,,317225,,
23/07/2021,1088712469,Pop Smoke, Lil Tjay,, Swae Lee - Genius,POP SMOKE,309698
23/07/2021,1087179412,Slow Motion Freestyle,Isaiah Rashad,,464475,,
23/07/2021,1088498722,Pop Smoke - Coupe,POP SMOKE,,288162,,
23/07/2021,1088500348,Pop Smoke - Mr. Jones (feat. Future),POP SMOKE,,292510,,
